Brand,Model,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hyundai,Verna,2012,0.5,3.77,168628,CNG,Dealer,Manual,3
Maruti,Swift,2007,0.5,12.26,196845,CNG,Individual,Manual,2
Toyota,Etios,2021,7.45,16.01,129864,CNG,Individual,Automatic,5
Hyundai,Creta,2023,6.57,11.76,144456,Petrol,Individual,Manual,3
Mahindra,Scorpio,2023,3.05,8.13,197373,Diesel,Dealer,Manual,3
Honda,Civic,2020,8.05,15.27,181606,Diesel,Dealer,Automatic,0
Tata,Nexon,2023,9.7,14.03,79487,Diesel,Dealer,Manual,5
Kia,Sonet,2019,4.61,14.46,116173,Petrol,Individual,Automatic,4
Kia,Seltos,2023,8.15,10.65,11895,Diesel,Individual,Manual,2
Honda,City,2010,0.5,14.01,76377,CNG,Individual,Automatic,4
Honda,Amaze,2018,8.09,19.54,15016,Diesel,Individual,Automatic,4
Hyundai,Venue,2009,0.5,21.1,184629,Petrol,Individual,Automatic,5
Honda,Civic,2006,0.5,12.05,124739,Petrol,Individual,Manual,1
Tata,Harrier,2019,10.55,24.56,89823,CNG,Dealer,Automatic,2
Maruti,Alto,2018,4.59,12.42,97535,Diesel,Individual,Automatic,1
Toyota,Fortuner,2021,4.47,10.59,55675,Petrol,Individual,Manual,3
Toyota,Etios,2015,0.5,8.26,123963,Diesel,Individual,Manual,1
Toyota,Fortuner,2022,7.06,13.11,148055,Petrol,Dealer,Manual,1
Mahindra,XUV500,2012,0.5,9.84,97977,Diesel,Individual,Manual,2
Honda,Amaze,2015,3.33,21.13,65015,Petrol,Individual,Manual,1
Tata,Tiago,2011,0.5,14.47,175887,Petrol,Dealer,Manual,2
Honda,Amaze,2018,4.17,11.81,48981,Petrol,Individual,Automatic,3
Mahindra,Bolero,2005,0.5,5.12,30920,Diesel,Dealer,Automatic,5
Honda,City,2016,6.42,19.81,23562,Diesel,Dealer,Manual,2
Hyundai,Venue,2019,2.58,6.37,55619,Petrol,Dealer,Manual,2
Maruti,Baleno,2013,0.5,13.41,159193,CNG,Individual,Automatic,4
Toyota,Fortuner,2020,0.5,5.65,196733,Petrol,Dealer,Automatic,1
Maruti,Alto,2009,0.5,4.2,13995,Petrol,Individual,Automatic,5
Maruti,Baleno,2015,2.2,21.15,45231,Petrol,Dealer,Manual,3
Mahindra,Scorpio,2007,0.5,11.45,184795,CNG,Individual,Automatic,5
Honda,Civic,2011,0.5,6.9,164935,Diesel,Dealer,Automatic,5
Toyota,Fortuner,2005,0.5,24.14,92178,Diesel,Individual,Manual,5
Hyundai,i20,2008,0.5,17.75,118543,Diesel,Individual,Manual,1
Tata,Nexon,2009,0.5,13.17,151043,CNG,Dealer,Automatic,2
Maruti,Swift,2022,1.69,8.31,199568,Petrol,Individual,Automatic,4
Maruti,Dzire,2018,7.42,21.28,80057,Diesel,Individual,Automatic,5
Mahindra,XUV500,2008,0.5,20.69,155700,Petrol,Dealer,Manual,2
Toyota,Fortuner,2020,10.41,19.47,9579,Diesel,Dealer,Manual,5
Tata,Tiago,2024,3.02,3.12,43158,CNG,Dealer,Automatic,1
Hyundai,Creta,2019,3.25,6.48,36649,Petrol,Dealer,Automatic,5
Toyota,Fortuner,2017,2.76,8.12,67837,Diesel,Dealer,Automatic,2
Hyundai,Verna,2021,8.73,16.99,89855,CNG,Dealer,Manual,2
Maruti,Dzire,2015,0.5,4.53,156340,CNG,Individual,Manual,3
Toyota,Fortuner,2009,0.5,6.45,198449,Petrol,Individual,Automatic,5
Toyota,Etios,2005,0.5,20.72,101214,Petrol,Dealer,Automatic,1
Maruti,Swift,2010,0.5,11.42,120827,Diesel,Dealer,Manual,5
Honda,City,2007,0.5,17.16,20377,Diesel,Dealer,Automatic,0
Kia,Sonet,2020,10.65,20.05,109190,Diesel,Dealer,Automatic,4
Maruti,Baleno,2013,0.5,20.48,143662,CNG,Individual,Automatic,1
Hyundai,i20,2009,0.5,3.65,27890,CNG,Individual,Automatic,1
Kia,Seltos,2007,0.5,8.97,134840,Petrol,Individual,Manual,0
Maruti,Swift,2016,2.73,15.75,161433,Diesel,Dealer,Manual,3
Hyundai,Venue,2017,6.67,22.67,67427,Diesel,Individual,Automatic,5
Kia,Sonet,2016,0.8,16.38,52665,Petrol,Individual,Manual,5
Toyota,Innova,2020,10.88,21.38,77740,Diesel,Individual,Automatic,2
Kia,Sonet,2007,0.5,20.42,27679,CNG,Dealer,Manual,0
Tata,Tiago,2020,0.5,3.72,129429,CNG,Individual,Manual,2
Toyota,Innova,2021,10.14,21.34,123328,CNG,Dealer,Manual,4
Hyundai,Creta,2008,0.5,21.9,177765,CNG,Individual,Automatic,0
Maruti,Swift,2007,0.5,21.88,62941,Petrol,Dealer,Manual,0
Hyundai,Verna,2015,2.46,19.0,21017,Petrol,Dealer,Manual,4
Kia,Sonet,2007,0.5,16.51,190277,Diesel,Individual,Automatic,5
Tata,Harrier,2016,0.5,7.02,88451,CNG,Individual,Manual,1
Hyundai,Venue,2005,0.5,24.91,5149,CNG,Dealer,Automatic,2
Hyundai,i20,2024,7.95,10.33,43346,CNG,Individual,Automatic,3
Honda,Amaze,2013,0.5,9.2,5912,CNG,Individual,Automatic,1
Kia,Seltos,2006,0.5,8.82,5892,Diesel,Individual,Automatic,1
Hyundai,Creta,2021,2.66,10.35,180123,Diesel,Individual,Manual,4
Hyundai,Verna,2021,3.75,8.14,58070,Petrol,Individual,Manual,0
Hyundai,Creta,2006,0.5,19.88,33319,Petrol,Individual,Automatic,5
Hyundai,Venue,2017,3.22,22.48,193520,Petrol,Individual,Manual,2
Mahindra,XUV500,2014,1.47,18.24,62399,CNG,Dealer,Automatic,1
Mahindra,Scorpio,2010,0.5,17.54,177371,CNG,Individual,Automatic,0
Mahindra,XUV500,2011,0.5,22.0,165373,Diesel,Dealer,Manual,3
Mahindra,Scorpio,2019,13.33,23.65,50296,Diesel,Individual,Automatic,0
Honda,City,2017,0.5,10.84,156014,Diesel,Individual,Manual,4
Honda,Amaze,2019,2.76,12.01,140081,CNG,Individual,Automatic,2
Kia,Seltos,2020,7.1,16.24,128435,Petrol,Individual,Automatic,0
Toyota,Innova,2022,3.63,5.92,11771,CNG,Individual,Manual,0
Hyundai,Creta,2017,1.15,9.16,96330,Diesel,Dealer,Manual,3
Honda,Civic,2014,0.5,20.79,187428,Diesel,Dealer,Manual,1
Toyota,Etios,2006,0.5,7.36,99224,CNG,Dealer,Automatic,0
Hyundai,i20,2017,6.3,17.66,8729,CNG,Dealer,Manual,2
Honda,Amaze,2020,0.75,9.43,195917,Petrol,Dealer,Automatic,5
Kia,Sonet,2020,7.97,19.79,135391,CNG,Dealer,Manual,3
Toyota,Etios,2021,5.31,11.68,102543,Petrol,Dealer,Automatic,3
Toyota,Etios,2006,0.5,17.39,146925,CNG,Dealer,Automatic,3
Honda,City,2005,0.5,7.65,86933,CNG,Dealer,Manual,5
Kia,Seltos,2013,0.5,13.11,56675,Diesel,Dealer,Automatic,4
Hyundai,i20,2011,0.5,10.36,181285,CNG,Dealer,Automatic,4
Honda,Civic,2021,5.48,13.89,165755,Diesel,Individual,Manual,2
Kia,Seltos,2012,0.5,9.47,44281,CNG,Dealer,Automatic,1
Maruti,Dzire,2017,1.97,19.35,190621,CNG,Individual,Manual,2
Mahindra,Scorpio,2015,4.28,23.97,62816,Petrol,Individual,Manual,0
Hyundai,i20,2012,0.5,23.05,86086,CNG,Individual,Automatic,2
Honda,Civic,2005,0.5,12.16,19935,Petrol,Individual,Manual,5
Maruti,Dzire,2010,0.5,17.04,136966,CNG,Dealer,Manual,5
Kia,Sonet,2024,15.64,18.57,20814,Petrol,Individual,Automatic,2
Mahindra,Bolero,2012,0.5,6.74,132915,Diesel,Dealer,Automatic,5
Honda,City,2014,0.5,15.06,31055,CNG,Individual,Automatic,2
Maruti,Baleno,2011,0.5,24.01,173886,CNG,Dealer,Manual,5
Kia,Seltos,2021,11.54,18.74,91878,Diesel,Individual,Automatic,2
Maruti,Swift,2022,2.12,6.69,161996,Petrol,Individual,Automatic,2
Hyundai,i20,2023,11.39,16.36,121454,CNG,Dealer,Automatic,0
Kia,Seltos,2015,0.5,8.37,139897,Petrol,Dealer,Automatic,3
Honda,Amaze,2019,10.01,19.34,21016,CNG,Dealer,Automatic,0
Tata,Tiago,2017,2.1,16.32,177299,CNG,Dealer,Automatic,4
Kia,Seltos,2006,0.5,24.27,34416,Diesel,Individual,Manual,4
Kia,Sonet,2018,1.24,9.36,103225,CNG,Dealer,Manual,2
Honda,Civic,2024,3.41,3.85,40768,Petrol,Individual,Automatic,1
Toyota,Etios,2015,0.5,10.92,127258,CNG,Dealer,Automatic,0
Mahindra,Bolero,2017,0.5,4.0,140000,Petrol,Individual,Automatic,2
Toyota,Innova,2016,0.5,10.13,148636,Diesel,Individual,Automatic,3
Toyota,Fortuner,2019,0.82,5.13,94004,Petrol,Dealer,Automatic,4
Maruti,Dzire,2006,0.5,9.07,97870,CNG,Dealer,Manual,4
Mahindra,XUV500,2022,0.5,5.24,190134,Petrol,Individual,Manual,1
Tata,Tiago,2020,8.6,19.87,134992,CNG,Dealer,Automatic,3
Toyota,Fortuner,2013,0.5,24.16,181510,Diesel,Individual,Manual,5
Toyota,Fortuner,2016,2.73,21.84,189090,Petrol,Dealer,Automatic,1
Maruti,Swift,2018,7.67,19.97,52106,Diesel,Individual,Manual,4
Tata,Harrier,2015,2.28,20.59,119186,Petrol,Dealer,Manual,1
Honda,City,2023,8.71,12.49,85174,CNG,Dealer,Manual,0
Kia,Sonet,2012,0.5,19.84,61802,CNG,Individual,Manual,2
Kia,Sonet,2009,0.5,23.69,108022,CNG,Dealer,Automatic,0
Kia,Seltos,2024,5.52,6.71,57357,Petrol,Dealer,Automatic,2
Toyota,Fortuner,2011,0.5,23.44,16020,Petrol,Dealer,Automatic,5
Tata,Nexon,2006,0.5,18.55,80469,CNG,Individual,Automatic,3
Tata,Nexon,2009,0.5,5.15,21679,CNG,Dealer,Manual,4
Kia,Seltos,2011,0.5,14.15,127012,Diesel,Dealer,Automatic,5
Hyundai,Creta,2006,0.5,5.28,139803,Petrol,Dealer,Automatic,5
Maruti,Baleno,2019,8.98,18.5,59945,Diesel,Dealer,Automatic,4
Kia,Seltos,2005,0.5,8.35,180301,Diesel,Individual,Automatic,2
Maruti,Baleno,2006,0.5,23.65,35921,CNG,Individual,Manual,4
Hyundai,Creta,2011,0.5,13.75,15682,CNG,Dealer,Manual,1
Hyundai,Verna,2024,3.33,9.27,176315,Diesel,Individual,Manual,5
Mahindra,XUV500,2005,0.5,16.32,59084,Diesel,Dealer,Automatic,3
Honda,City,2011,0.5,7.39,60869,Diesel,Dealer,Automatic,5
Honda,Amaze,2007,0.5,19.81,51709,Diesel,Dealer,Manual,5
Honda,Amaze,2007,0.5,4.94,96236,Diesel,Individual,Automatic,3
Hyundai,Verna,2019,6.77,13.83,61282,CNG,Dealer,Automatic,1
Toyota,Etios,2007,0.5,3.12,85293,Diesel,Dealer,Automatic,5
Honda,City,2020,5.48,12.24,49967,Petrol,Individual,Manual,1
Tata,Harrier,2019,10.79,23.47,36890,CNG,Dealer,Automatic,4
Kia,Sonet,2018,10.1,23.7,40178,Diesel,Dealer,Automatic,5
Toyota,Innova,2021,14.97,22.64,16098,Petrol,Individual,Automatic,4
Maruti,Dzire,2011,0.5,19.06,42517,Petrol,Individual,Manual,0
Toyota,Fortuner,2019,12.07,23.82,35719,Diesel,Individual,Automatic,1
Mahindra,Bolero,2014,0.5,21.68,142370,CNG,Individual,Manual,4
Maruti,Swift,2022,8.08,17.42,196343,Petrol,Individual,Manual,3
Kia,Sonet,2020,9.77,20.23,160698,Petrol,Dealer,Manual,1
Kia,Seltos,2021,10.6,16.43,27365,Petrol,Individual,Manual,0
Kia,Sonet,2016,3.37,11.78,97003,Diesel,Dealer,Automatic,0
Mahindra,Scorpio,2006,0.5,9.65,109821,Diesel,Dealer,Manual,4
Hyundai,Verna,2022,6.17,12.19,132386,Diesel,Individual,Manual,2
Maruti,Dzire,2021,9.47,13.81,30736,Diesel,Dealer,Manual,1
Mahindra,Bolero,2023,17.78,24.1,63603,Diesel,Dealer,Manual,5
Toyota,Etios,2010,0.5,7.71,135533,Diesel,Individual,Manual,5
Toyota,Fortuner,2008,0.5,24.59,84518,Petrol,Individual,Manual,5
Maruti,Baleno,2017,2.11,7.22,7592,Petrol,Dealer,Manual,3
Maruti,Swift,2022,14.67,22.27,122257,CNG,Individual,Automatic,1
Toyota,Fortuner,2024,10.23,11.38,16232,Petrol,Individual,Manual,0
Mahindra,Scorpio,2010,0.5,11.19,110151,CNG,Dealer,Automatic,0
Hyundai,Creta,2009,0.5,19.44,71252,Petrol,Dealer,Manual,4
Maruti,Alto,2005,0.5,20.19,46230,CNG,Dealer,Automatic,5
Maruti,Alto,2006,0.5,20.59,129393,Diesel,Dealer,Manual,2
Maruti,Baleno,2023,15.75,18.72,61574,Diesel,Dealer,Manual,1
Mahindra,Scorpio,2018,7.84,19.14,48470,Diesel,Dealer,Manual,3
Hyundai,Verna,2014,2.0,23.39,8841,Petrol,Individual,Manual,1
Tata,Tiago,2019,6.85,17.58,104166,Diesel,Individual,Automatic,4
Kia,Seltos,2011,0.5,23.83,195237,Diesel,Dealer,Automatic,1
Kia,Seltos,2020,1.63,7.29,116112,CNG,Individual,Automatic,3
Toyota,Etios,2021,7.11,15.26,172909,Petrol,Dealer,Manual,0
Tata,Harrier,2007,0.5,9.16,28506,CNG,Individual,Automatic,2
Hyundai,Venue,2008,0.5,21.5,158314,Diesel,Individual,Manual,0
Mahindra,XUV500,2011,0.5,3.21,197837,CNG,Individual,Manual,0
Hyundai,Venue,2011,0.5,16.06,161454,Diesel,Dealer,Automatic,2
Kia,Sonet,2013,0.5,21.84,146339,CNG,Dealer,Automatic,3
Mahindra,XUV500,2022,10.99,18.32,141665,Diesel,Dealer,Manual,3
Maruti,Alto,2019,12.13,23.86,26267,Diesel,Dealer,Manual,2
Mahindra,Scorpio,2011,0.5,17.61,15755,Diesel,Individual,Manual,5
Hyundai,Venue,2016,5.81,14.45,21731,Diesel,Dealer,Automatic,0
Hyundai,Creta,2022,12.25,17.98,86229,Petrol,Dealer,Automatic,3
Honda,City,2021,11.88,16.54,15618,Diesel,Dealer,Automatic,2
Mahindra,XUV500,2007,0.5,10.46,120240,CNG,Individual,Manual,2
Maruti,Dzire,2009,0.5,14.24,186230,Diesel,Individual,Manual,4
Tata,Nexon,2005,0.5,15.58,37789,Petrol,Individual,Manual,4
Maruti,Swift,2010,0.5,22.21,109687,Petrol,Dealer,Automatic,5
Maruti,Swift,2012,0.5,9.62,183185,Diesel,Individual,Manual,1
Hyundai,Creta,2015,0.5,14.73,167055,Diesel,Dealer,Automatic,4
Mahindra,Bolero,2010,0.5,20.88,81411,Diesel,Dealer,Manual,1
Mahindra,XUV500,2021,8.08,16.92,140640,CNG,Dealer,Automatic,4
Honda,Civic,2014,0.5,7.02,70369,Petrol,Dealer,Manual,0
Kia,Sonet,2024,2.24,5.02,87538,Diesel,Individual,Automatic,4
Hyundai,i20,2005,0.5,3.67,196415,Petrol,Individual,Manual,5
Tata,Nexon,2007,0.5,13.84,137271,CNG,Dealer,Manual,3
Kia,Seltos,2013,0.5,4.99,174661,Petrol,Individual,Manual,5
Honda,Amaze,2016,3.72,15.81,108090,Diesel,Individual,Automatic,0
Kia,Seltos,2005,0.5,12.44,40334,Petrol,Dealer,Automatic,3
Kia,Seltos,2007,0.5,18.47,193719,Petrol,Dealer,Automatic,1
Toyota,Fortuner,2011,0.5,23.17,154376,Petrol,Dealer,Manual,1
Kia,Seltos,2006,0.5,21.97,27095,CNG,Dealer,Manual,4
Maruti,Dzire,2017,0.5,10.08,170970,Petrol,Individual,Automatic,4
Tata,Nexon,2024,11.19,16.44,154420,CNG,Dealer,Automatic,5
Maruti,Alto,2009,0.5,17.02,49795,Diesel,Individual,Manual,3
Honda,Civic,2017,0.5,5.75,163421,Diesel,Dealer,Manual,5
Toyota,Fortuner,2022,9.51,14.54,18347,CNG,Dealer,Manual,4
Mahindra,XUV500,2017,4.02,22.64,146725,Diesel,Individual,Manual,2
Mahindra,XUV500,2017,4.08,24.15,151038,Diesel,Individual,Manual,4
Toyota,Innova,2011,0.5,6.33,122477,Diesel,Individual,Manual,1
Hyundai,i20,2014,0.5,7.79,59530,Petrol,Individual,Automatic,0
Mahindra,Scorpio,2017,4.44,14.46,15859,Diesel,Individual,Manual,2
Toyota,Innova,2016,0.5,3.8,111494,Diesel,Individual,Automatic,1
Hyundai,i20,2006,0.5,22.18,121905,Diesel,Individual,Automatic,5
Tata,Nexon,2018,3.37,12.19,65747,CNG,Individual,Manual,1
Tata,Tiago,2010,0.5,20.51,47221,CNG,Dealer,Manual,4
Mahindra,XUV500,2024,16.46,22.76,192422,Diesel,Individual,Manual,4
Honda,City,2006,0.5,17.02,166238,Petrol,Dealer,Manual,0
Maruti,Baleno,2012,0.5,12.67,38047,CNG,Dealer,Manual,1
Toyota,Etios,2015,0.5,11.9,101278,Petrol,Individual,Automatic,4
Honda,Amaze,2023,7.4,12.1,86533,Petrol,Individual,Automatic,5
Kia,Seltos,2024,14.81,17.0,41709,Diesel,Dealer,Automatic,4
Tata,Harrier,2007,0.5,12.01,62322,CNG,Individual,Automatic,3
Maruti,Dzire,2007,0.5,15.01,5582,Diesel,Individual,Manual,5
Kia,Sonet,2014,2.17,23.89,43270,CNG,Dealer,Automatic,1
Hyundai,Venue,2005,0.5,13.67,73542,Petrol,Dealer,Manual,4
Kia,Sonet,2020,0.5,4.34,30899,Petrol,Individual,Manual,5
Honda,Civic,2013,0.5,4.25,70267,Petrol,Dealer,Manual,5
Maruti,Baleno,2016,0.54,8.46,40859,CNG,Individual,Automatic,3
Toyota,Fortuner,2019,6.0,22.56,179173,CNG,Individual,Manual,3
Kia,Seltos,2006,0.5,6.47,128383,Diesel,Individual,Manual,4
Kia,Sonet,2023,14.55,20.63,67673,CNG,Individual,Automatic,5
Toyota,Fortuner,2017,5.37,21.85,152393,Petrol,Dealer,Manual,0
Maruti,Dzire,2021,15.71,23.04,41604,Diesel,Dealer,Automatic,2
Hyundai,Creta,2024,19.18,22.55,50394,Petrol,Dealer,Manual,4
Tata,Harrier,2006,0.5,19.64,61950,Petrol,Individual,Manual,5
Mahindra,XUV500,2012,0.5,21.52,34353,CNG,Dealer,Manual,3
Tata,Harrier,2016,0.5,17.86,195156,Petrol,Individual,Manual,5
Maruti,Alto,2006,0.5,3.64,138434,Diesel,Individual,Automatic,3
Honda,Amaze,2022,0.5,5.5,172728,Diesel,Individual,Automatic,3
Toyota,Fortuner,2016,0.5,5.52,157578,Diesel,Individual,Manual,5
Honda,City,2022,3.96,8.77,84039,Diesel,Individual,Manual,2
